team_id,team_name,season,runs,pa,ab,h,b2,b3,hr,bb,hbp,sf,tb,rbi,avg,obp,slg
113,Cincinnati Reds,2013,698,6293,5499,1370,274,20,155,585,76,46,2149,664,0.249136207,0.327263938,0.390798327
147,New York Yankees,2012,804,6231,5524,1462,280,13,245,565,62,49,2503,774,0.264663287,0.336935484,0.453113686
120,Washington Nationals,2012,731,6221,5615,1468,301,25,194,479,41,36,2401,688,0.261442565,0.322152001,0.42760463
139,Tampa Bay Rays,2013,700,6242,5538,1421,296,23,165,589,36,55,2258,670,0.256590827,0.329044709,0.407728422
135,San Diego Padres,2015,650,6019,5457,1324,260,36,148,426,40,42,2100,623,0.242624152,0.300083822,0.384826828
144,Atlanta Braves,2015,573,6034,5420,1361,251,18,100,471,44,31,1948,548,0.251107011,0.314448542,0.359409594
118,Kansas City Royals,2015,724,6116,5575,1497,300,42,139,383,77,47,2298,689,0.268520179,0.321769155,0.412197309
119,Los Angeles Dodgers,2016,725,6164,5518,1376,272,21,189,525,58,32,2257,680,0.249365712,0.319419534,0.409025009
113,Cincinnati Reds,2012,669,6115,5477,1377,296,30,172,481,47,37,2249,636,0.251415008,0.315292949,0.410626255
118,Kansas City Royals,2010,676,6209,5604,1534,279,31,121,471,35,53,2238,640,0.273733048,0.331007626,0.399357602
134,Pittsburgh Pirates,2014,682,6224,5536,1436,275,30,156,520,78,35,2239,659,0.259393064,0.329713082,0.404443642
114,Cleveland Indians,2012,667,6195,5525,1385,266,24,136,555,59,39,2107,635,0.250678733,0.323567498,0.381357466
111,Boston Red Sox,2011,875,6414,5710,1600,352,35,203,578,50,50,2631,842,0.280210158,0.348778961,0.460770578
117,Houston Astros,2011,615,6150,5598,1442,309,28,95,401,46,37,2092,579,0.257591997,0.310588622,0.373704895
112,Chicago Cubs,2012,613,5967,5411,1297,265,36,137,447,43,24,2045,570,0.239696914,0.301603376,0.377933838
120,Washington Nationals,2014,686,6216,5542,1403,265,27,152,517,56,41,2178,635,0.253157705,0.320987654,0.392998917
139,Tampa Bay Rays,2010,802,6270,5439,1343,295,37,160,672,57,57,2192,769,0.24692039,0.332851406,0.40301526
121,New York Mets,2010,656,6144,5465,1361,266,40,128,502,46,57,2091,625,0.249039341,0.314497529,0.382616651
119,Los Angeles Dodgers,2013,649,6145,5491,1447,281,17,138,476,57,48,2176,618,0.263522127,0.326086957,0.39628483
136,Seattle Mariners,2013,624,6172,5558,1318,249,17,188,529,31,28,2165,597,0.23713566,0.305564595,0.389528607
143,Philadelphia Phillies,2014,619,6198,5603,1356,251,27,125,443,55,37,2036,584,0.242013207,0.302052786,0.363376762
137,San Francisco Giants,2014,665,6087,5523,1407,257,42,132,427,43,49,2144,636,0.254752852,0.310658722,0.388194822
118,Kansas City Royals,2013,648,6093,5549,1443,254,34,112,422,42,42,2101,620,0.260046855,0.314946325,0.37862678
139,Tampa Bay Rays,2012,697,6105,5398,1293,250,30,175,571,58,42,2128,665,0.23953316,0.316691382,0.394220082
140,Texas Rangers,2012,808,6216,5590,1526,303,32,200,478,57,53,2493,780,0.272987478,0.333603108,0.445974955
117,Houston Astros,2015,729,6073,5459,1363,278,26,230,486,56,43,2383,691,0.249679428,0.315188617,0.436526836
142,Minnesota Twins,2015,696,6017,5467,1349,277,44,156,439,40,41,2182,661,0.246753247,0.305328211,0.399122005
146,Miami Marlins,2015,613,5988,5463,1420,236,40,120,375,39,40,2096,575,0.259930441,0.309954369,0.383671975
113,Cincinnati Reds,2010,790,6285,5579,1515,293,30,188,522,68,50,2432,761,0.271554042,0.338478855,0.435920416
111,Boston Red Sox,2015,748,6237,5640,1495,294,33,161,478,46,42,2338,706,0.265070922,0.325330325,0.414539007
143,Philadelphia Phillies,2016,610,5992,5434,1305,231,35,161,424,58,30,2089,574,0.240154582,0.300538177,0.384431358
120,Washington Nationals,2016,763,6201,5490,1403,268,29,203,536,64,63,2338,735,0.255555556,0.325532261,0.425865209
108,Los Angeles Angels,2016,717,6041,5431,1410,279,20,156,471,51,49,2197,686,0.259620696,0.321892702,0.404529553
136,Seattle Mariners,2010,513,5989,5409,1274,227,16,101,459,39,40,1836,485,0.23553337,0.297965361,0.339434276
110,Baltimore Orioles,2014,705,6130,5596,1434,264,16,211,401,62,36,2363,681,0.256254467,0.31123872,0.422265904
109,Arizona Diamondbacks,2011,731,6096,5421,1357,293,37,172,531,61,33,2240,702,0.250322819,0.322361892,0.413207895
113,Cincinnati Reds,2011,735,6329,5612,1438,264,19,183,535,63,40,2289,697,0.256236636,0.32576,0.40787598
119,Los Angeles Dodgers,2012,637,6091,5438,1369,269,23,116,481,52,38,2032,607,0.251746966,0.316525212,0.373666789
121,New York Mets,2012,650,6091,5450,1357,286,21,139,503,42,30,2102,625,0.248990826,0.315684647,0.385688073
117,Houston Astros,2013,610,6020,5457,1307,266,16,148,426,52,38,2049,566,0.239508888,0.298844802,0.375481034
115,Colorado Rockies,2011,735,6275,5544,1429,274,40,163,555,57,44,2272,697,0.257756133,0.329193548,0.40981241
145,Chicago White Sox,2011,654,6159,5502,1387,252,16,154,475,84,46,2133,625,0.252090149,0.318650729,0.387677208
158,Milwaukee Brewers,2012,776,6224,5557,1442,300,39,202,466,90,35,2426,741,0.259492532,0.324983735,0.436566493
139,Tampa Bay Rays,2014,612,6205,5516,1361,263,24,117,527,66,53,2023,586,0.246736766,0.317104836,0.366751269
142,Minnesota Twins,2011,619,6020,5487,1357,259,25,103,440,37,25,1975,572,0.247311828,0.306228085,0.35994168
136,Seattle Mariners,2012,619,6057,5494,1285,241,27,149,466,30,35,2027,584,0.233891518,0.29560166,0.368947943
141,Toronto Blue Jays,2011,743,6210,5559,1384,285,34,186,525,48,47,2295,704,0.248965641,0.316717916,0.412844037
145,Chicago White Sox,2015,622,6070,5533,1381,260,27,136,404,65,37,2103,595,0.249593349,0.30634211,0.380083138
113,Cincinnati Reds,2015,640,6196,5571,1382,257,27,167,496,42,40,2194,613,0.248070364,0.312245894,0.393825166
135,San Diego Padres,2013,618,6122,5517,1349,246,26,146,467,52,34,2085,578,0.244516948,0.307742998,0.377922784
141,Toronto Blue Jays,2015,891,6231,5509,1480,308,17,232,570,54,62,2518,852,0.268651298,0.339628733,0.457070249
112,Chicago Cubs,2015,689,6200,5491,1341,272,30,171,567,74,35,2186,657,0.244217811,0.321388033,0.398105992
146,Miami Marlins,2016,655,6133,5547,1460,259,42,128,447,54,38,2187,626,0.263205336,0.322214919,0.394267171
111,Boston Red Sox,2016,878,6320,5670,1598,343,25,208,558,43,40,2615,836,0.281834215,0.348439233,0.461199295
108,Los Angeles Angels,2014,773,6284,5652,1464,304,31,155,492,60,54,2295,729,0.259023355,0.322147651,0.406050955
