season,home_team,league,event_type,game_id,event_id,balls,strikes,outs,runner_1b,runner_2b,runner_3b,post_outs,post_runner_1b,post_runner_2b,post_runner_3b,is_pa,event_runs,is_sb,is_cs
2016,MIA,NL,Caught Stealing 2B,448919,448,1,1,0,1,0,0,1,0,0,0,0,0,0,1
2016,COL,NL,Strikeout,448920,233,3,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,PIT,NL,Walk,448921,41,3,2,2,1,0,1,2,1,1,1,1,0,0,0
2016,PIT,NL,Field Out,448921,103,1,2,0,1,0,0,1,0,1,0,1,0,0,0
2016,PIT,NL,Field Out,448921,156,3,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,PIT,NL,Walk,448921,351,3,2,2,1,0,1,2,1,1,1,1,0,0,0
2016,LAD,NL,Field Out,448924,76,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,LAD,NL,Single,448924,217,3,2,2,1,1,0,2,1,0,1,1,1,0,0
2016,LAD,NL,Field Out,448924,228,0,1,2,1,0,1,3,0,0,0,1,0,0,0
2016,WSH,NL,Stolen Base 2B,448925,543,1,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,WSH,NL,Stolen Base 2B,448925,601,2,2,0,1,0,0,0,0,1,0,0,0,1,0
2016,WSH,NL,Strikeout,448925,657,3,2,1,1,1,0,2,0,1,1,1,0,1,0
2016,SD,NL,Field Out,448927,138,1,0,0,1,0,0,1,1,0,0,1,0,0,0
2016,SD,NL,Stolen Base 2B,448927,310,1,0,1,1,0,1,1,0,1,1,0,0,1,0
2016,SD,NL,Strikeout,448927,430,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,MIL,NL,Single,448928,53,0,1,0,1,0,0,0,1,0,1,1,0,0,0
2016,MIL,NL,Walk,448928,63,3,0,0,1,0,1,0,1,1,1,1,0,0,0
2016,MIL,NL,Stolen Base 2B,448928,165,0,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,MIL,NL,Stolen Base 2B,448928,270,0,0,0,1,0,1,0,0,0,1,0,1,1,0
2016,MIL,NL,Stolen Base 2B,448928,460,2,1,0,1,0,0,0,0,1,0,0,0,1,0
2016,CIN,NL,Walk,448933,67,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,CIN,NL,Stolen Base 2B,448933,204,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2016,CIN,NL,Strikeout,448933,261,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,CIN,NL,Stolen Base 2B,448933,303,1,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,MIA,NL,Walk,448934,442,3,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,MIA,NL,Single,448934,509,0,0,0,1,0,0,0,1,1,0,1,0,0,0
2016,MIA,NL,Strikeout,448934,573,3,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,COL,NL,Stolen Base 2B,448935,164,0,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,PIT,NL,Strikeout,448936,222,3,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,LAD,NL,Walk,448939,94,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,LAD,NL,Field Out,448939,187,1,2,0,1,0,0,1,1,0,0,1,0,0,0
2016,LAD,NL,Caught Stealing 2B,448939,313,1,2,1,1,0,0,2,0,0,0,0,0,0,1
2016,LAD,NL,Strikeout,448939,476,3,2,2,1,1,1,3,0,0,0,1,0,0,0
2016,LAD,NL,Field Out,448939,543,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,WSH,NL,Field Out,448940,86,3,2,0,1,0,0,1,1,0,0,1,0,0,0
2016,WSH,NL,Single,448940,140,3,2,2,1,1,0,2,1,0,1,1,1,0,0
2016,WSH,NL,Field Out,448940,609,2,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,WSH,NL,Single,448940,759,0,2,1,1,0,0,1,1,0,1,1,0,0,0
2016,WSH,NL,Stolen Base 2B,448940,813,0,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,SD,NL,Stolen Base 3B,448942,244,0,0,2,1,1,0,2,0,1,1,0,0,1,0
2016,SD,NL,Defensive Indiff,448942,597,0,0,2,1,0,0,2,0,1,0,0,0,0,0
2016,MIL,NL,Walk,448943,417,3,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,MIL,NL,Caught Stealing 2B,448943,503,0,1,2,1,0,0,3,0,0,0,0,0,0,1
2016,CIN,NL,Field Out,448948,42,1,2,0,0,1,0,1,0,0,1,1,0,0,0
2016,CIN,NL,Caught Stealing 2B,448948,107,0,2,0,1,0,0,1,0,0,0,0,0,0,1
2016,CIN,NL,Caught Stealing 2B,448948,118,1,0,1,1,0,0,2,0,0,0,0,0,0,1
2016,CIN,NL,Stolen Base 2B,448948,159,1,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,CIN,NL,Single,448948,200,0,1,1,1,0,0,1,1,0,1,1,0,0,0
2016,CIN,NL,Single,448948,279,3,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,CIN,NL,Field Out,448948,450,2,1,0,1,0,0,1,1,0,0,1,0,0,0
2016,CIN,NL,Double Play,448948,459,1,2,1,1,0,0,3,0,0,0,1,0,0,0
2016,MIA,NL,Fielders Choice,448949,15,3,2,0,1,0,0,0,1,1,0,1,0,0,0
2016,MIA,NL,Stolen Base 2B,448949,156,1,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,MIA,NL,Stolen Base 2B,448949,204,1,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,MIA,NL,Caught Stealing 2B,448949,299,1,0,2,1,0,1,3,0,0,0,0,0,0,1
2016,MIA,NL,Defensive Indiff,448949,522,0,1,2,1,0,0,2,0,1,0,0,0,0,0
2016,MIA,NL,Strikeout,448949,544,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,COL,NL,Stolen Base 2B,448950,12,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2016,COL,NL,Caught Stealing 2B,448950,36,1,0,2,1,0,0,3,0,0,0,0,0,0,1
